sentences,pos_tags
کراچی اردو پوائنٹ اخبارتازہ ترین این این ئی 08 نومبر2019ءملکی کرنسی مارکیٹوں میں بدھ کوپاکستانی روپ� ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADP NOUN ADJ NOUN 
کراچیاردو پوائنٹ اخبار تازہ ترین14دسمبر 2014ءگل احمد فلم میں ندیم ملک کے ساتھ کام کرنے کے بعد فلم گھن چ ,PROPN PROPN NOUN ADJ PROPN PROPN PROPN NOUN ADP PROPN NOUN ADP ADP NOUN VERB ADP ADV NOUN VERB PUNCT 
لاہوراردو پوائنٹ اخبارتازہ ترین لائن 17 اپریل2018ء نامور اداکارہ ماڈل ریچل خان نے کہا ہے کہ فلم انڈسٹری ,PROPN PROPN ADJ PROPN NOUN PROPN PROPN ADJ NOUN PROPN PROPN PROPN ADP VERB AUX SCONJ NOUN VERB 
لاہوراردو پوائنٹ اخبارتازہ ترین لائن 11 جنوری2017ءپاکستان اورجنوبی افریقاکی کرکٹ ٹیموں کے مابین ون ڈے ,PROPN PROPN PROPN PROPN NOUN PROPN PROPN PROPN PROPN NOUN NOUN ADP ADP NOUN VERB 
قائد اعظم ٹرافی کے تیسرے رانڈ کے چوتھے دن سنٹرل پنجاب کی دوسری اننگز میں بلوچستان نے ایک سو ا ,NOUN PROPN NOUN ADP ADJ NOUN ADP ADJ NOUN PROPN PROPN ADP ADJ NOUN ADP NOUN ADP NUM NUM PUNCT 
اسلام باد اردو پوائنٹ اخبارتازہ ترین اے پی پی 22 جون2020ء اداکارہ یشما گل کا نیا برائیڈل فوٹو شوٹ جاری ک ,PROPN PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN ADP ADJ NOUN NOUN NOUN ADJ VERB 
لاہورکامرس رپورٹر سارک چیمبر کامرس اینڈ انڈسٹری کے نائب صدر افتخار علی ملک نے جنوبی ایشیا کی ب ,NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADP NOUN NOUN PROPN PROPN PROPN ADP PROPN PROPN VERB VERB 
لاہورکامرس رپورٹرچیئرمین برائلر گوشت اور دالوں کی درمد میں رکاوٹیں ڈالنے کے لئے فوری اقدامات ک ,NOUN ADJ NOUN NOUN CCONJ NOUN ADP NOUN ADP NOUN VERB ADP ADP ADJ NOUN PUNCT 
ڈربن اردو پوائنٹ اخبارتازہ ترین اے پی پی 19 جنوری2020ء جنوبی افریقہ اور نیوزی لینڈ کی کرکٹ ٹیموں � ,PROPN PROPN PROPN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP NOUN NOUN PUNCT 
لاہور کلچرل رپورٹر معروف فلمساز ہدایتکار مسعود بٹ نے اپنی نئی ڈرامہ سیریل عہد وفا کی ریکارڈنگ م� ,PROPN NOUN NOUN ADJ NOUN PROPN PROPN PROPN ADP PRON ADJ NOUN NOUN NOUN PROPN ADP NOUN VERB 
لاہوراردو پوائنٹ تازہ ترین اخبار8نومبر2019ء ئی سی سی کی جانب سے ٹی ٹونٹی کرکٹ کی ٹاپ ٹیموں میں شمول ,PROPN PROPN ADJ ADJ PROPN PROPN PROPN PROPN ADP ADP ADP PROPN PROPN PROPN ADP NOUN NOUN ADP VERB 
لاہور کامرس رپورٹر میاں چنوں صنعتکار نے مسلسل چوتھے کاروباری دن کے دوران لاہور میں افسران کی سہولت ,PROPN PROPN NOUN PROPN PROPN PROPN ADP ADJ ADJ ADJ NOUN ADP ADP PROPN ADP NOUN ADP NOUN 
لاہور کامرس رپورٹر انسپکٹر جنرل پنجاب اور پاکستان ٹریڈرز ایسوسی ایشن کے تعاون سے تین روزہ انٹرن� ,PROPN PROPN NOUN NOUN NOUN PROPN CCONJ PROPN PROPN PROPN PROPN ADP NOUN ADP NUM ADJ NOUN 
نئی دہلی نیٹ نیوز اکثر میں حیرت انگیز انداز میں یہ کہنا چاہتا ہوں کہ اپنے میں کامیابیو� ,ADJ PROPN PROPN PROPN ADV ADP NOUN ADJ NOUN ADP PRON VERB VERB AUX SCONJ PRON ADP PROPN 
ڈائریکٹرشہریارمنوراوراسٹیج ڈرامہ رشتہ کے لئے اداکارہ سارہ خان کا انتخاب دونوں اداکاراں کیل� ,NOUN NOUN NOUN ADP ADP NOUN PROPN PROPN ADP NOUN NUM NOUN VERB 
اسلام باداردو پوائنٹ اخبارتازہ ترین لائن 16 دسمبر2017ء پاکستان ریلوے نے مسافروں کو اپنی بجلی دور روکنے کے ,PROPN PROPN PROPN ADJ PROPN NOUN PROPN PROPN PROPN NOUN ADP NOUN ADP PRON NOUN ADJ VERB AUX 
کراچی کرکٹ ورلڈکپ میں قومی ٹیم کی فتح کا جشن نیشنل اسٹیڈیم کراچی میں جاری ہے جہاں شائق� ,PROPN PROPN PROPN ADP ADJ NOUN ADP NOUN ADP NOUN PROPN PROPN PROPN ADP ADJ AUX PRON VERB 
ویب ڈیسک 13 مئی 2018 معروف اداکار اظفر رحمن نے کہا ہے کہ وہ ڈرامہ انڈسٹری کے برے دن کریں گے ڈرام ,NOUN NOUN PROPN PROPN PROPN ADJ NOUN PROPN PROPN ADP VERB AUX SCONJ PRON PROPN NOUN ADP ADJ NOUN VERB AUX PUNCT 
فیس بک کی جانب سے صارفین کے لیے لچکدار ویڈیو جاری کی جائے گی کراچیمشہور زمانہ بینڈ ون ٹو � ,NOUN NOUN ADP ADP ADP NOUN ADP ADP ADJ NOUN ADJ VERB AUX AUX ADJ NOUN NOUN PROPN PROPN PUNCT 
لاہورسپورٹس ڈیسک ورلڈ کپ 2019ء میں ناک مرحلے کے دوران بنگلہ دیش نے افغانستان کو7 وکٹوں سے ہرا دی ,PROPN PROPN PROPN PROPN PROPN ADP ADJ NOUN ADP ADP PROPN PROPN ADP PROPN PROPN NOUN ADP VERB AUX 
لاہور سٹاف رپورٹر پاکستان انجمن تاجران نے تاجران کے ساتھ انتخابی جلسہ سے خطاب کرتے ہوئے کہا کہ ,PROPN PROPN NOUN PROPN NOUN NOUN ADP NOUN ADP ADP ADJ NOUN ADP NOUN VERB AUX VERB SCONJ 
پشاور بی بی سی خیبر پی کے کے اضلاع میں باپ کے ساتھ دہشت گردی کی متاثرہ بچی کے واقعے کی تح ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN ADP NOUN ADP ADP NOUN NOUN ADP ADJ NOUN ADP NOUN VERB PUNCT 
لاہور کامرس رپورٹرصوبائی وزیر خزانہ ڈاکٹر عائشہ غوث پاشا نے جاپان کے ساتھ بلاک اینڈ بزنس کونسل ,PROPN PROPN PROPN NOUN NOUN NOUN PROPN PROPN PROPN ADP PROPN ADP ADP PROPN PROPN PROPN PROPN 
کراچی اردو پوائنٹ اخبارتازہ ترین اے پی پی 19 اگست2020ء پاکستان انسٹیٹیوٹ اف ہاکی کے سیکریٹری جنر ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN VERB 
دبئی این این ئیسابق پاکستانی کپتان شاہد فریدی کے بیٹے اعظم خان رواں سال شادی کے بندھن میں بندھ ,PROPN PROPN PROPN PROPN ADJ NOUN PROPN PROPN ADP NOUN PROPN PROPN ADJ NOUN NOUN ADP NOUN ADP VERB 
لاہورائی این پیپاکستان کرکٹ بورڈ کے سابق چیئرمین چودھری ذکاء اشرف نے کہا ہے کہ چیف سلی ,PROPN PROPN PROPN PROPN PROPN ADP ADJ NOUN PROPN PROPN PROPN ADP VERB AUX SCONJ PROPN PROPN 
وزیر اعظم کو نوٹس دیا جائے کہ سی این جی کی فروخت بجٹ سے تین ماہ میں فروخت پر پیش کی جائے وزی ,NOUN NOUN ADP NOUN VERB AUX SCONJ PROPN PROPN PROPN ADP NOUN NOUN ADP NUM NOUN ADP NOUN ADP ADV VERB AUX PUNCT 
اسلام اباد بیجنگ اردو پوائنٹ اخبارتازہ ترین اے پی پی 08 جنوری2020ء پاکستان اور جاپان کے مابین تجارت کے حج ,PROPN PROPN PROPN PROPN PROPN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN ADP ADP NOUN ADP NOUN 
ممبئی ویب ڈیسک بھارت کے معروف اداکار اوم پوری کی جانب سے بھارتی ٹی وی کو ملنے والے لفظوں میں انتہا ,PROPN PROPN PROPN PROPN ADP ADJ NOUN PROPN PROPN ADP ADP ADP PROPN PROPN PROPN ADP VERB ADP NOUN ADP VERB 
زیورخاردو پوائنٹ اخبارتازہ ترین ئی این پی 22 جولائی2017ء فیفا کی ڈریم ٹیم کے کھلاڑیوں کی نئی گ ,PROPN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN NOUN ADP NOUN ADP ADJ PUNCT 
ٹوکیو 13 فروری اے پی پی ٹوکیو سٹاک ایکسچینج میں جمعہ کو تیزی کا رجحان رہا اور کاروباری سرگرم ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN ADP NOUN ADP NOUN VERB CCONJ NOUN ADJ 
لندننیوز ڈیسک ورلڈ ہاکی لیگ سیمی فائنل ٹورنامنٹ میں پاکستانی ٹیم نے اپنے تیسرے میچ میں اس جیت ,PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN ADP ADJ NOUN ADP PRON ADJ NOUN ADP DET VERB 
اسلام اباد اردو پوائنٹ اخبارتازہ ترین اے پی پی 03 ستمبر2018ء رواں مالی سال کے دوران فوجی فرٹیلائزر کمپنی ای ,PROPN PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN ADJ ADJ NOUN ADP ADP NOUN NOUN NOUN VERB 
ممبئی اردو پوائنٹ اخبارتازہ ترین اے پی پی 15 مارچ2018ء بالی وڈ اداکار سلمان خان کے دو نئے گانے کی مصروفی ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN ADP NUM ADJ NOUN ADP ADJ 
لاہور سپورٹس رپورٹر نمائندہ سپورٹس پاکستان کرکٹ ٹیم کے سٹار کرکٹر عمر اکمل نے اپنا انٹرنیشنل � ,PROPN PROPN NOUN PROPN PROPN PROPN PROPN NOUN ADP NOUN NOUN PROPN PROPN ADP PRON NOUN PUNCT 
قاہرہ جولائی اردو پوائنٹ اخبار تازہ ترین 02 جولائی2015ء افریقہ نے کہا ہے کہ سال رواں کے پہلے نو ماہ ,PROPN PROPN PROPN NOUN NOUN ADJ ADJ PROPN PROPN PROPN ADP VERB AUX SCONJ NOUN ADJ ADP ADJ NUM NOUN 
ممبئی اردو پوائنٹ اخبارتازہ ترین اے پی پی 04 مارچ2018ء بالی وڈ فلم یہ جوانی ہے دیوانیکا پہلا پوسٹر جاری ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN DET NOUN AUX PROPN ADJ NOUN ADJ 
سابق ٹیسٹ کرکٹرعاقب جاویدنے پی سی بی کو اسپاٹ فکسنگ میں ملوث کرکٹرز کے خلاف ایکشن پلان کی ,ADJ NOUN NOUN PROPN PROPN PROPN PROPN ADP NOUN NOUN ADP ADJ NOUN ADP ADP NOUN NOUN VERB 
کراچیاردو پوائنٹ اخبارتازہ ترین لائن 01 مارچ2019ءبیرون ملک مقیم پاکستانیوں نے جاری مالی سال کے پہلے دس ماہ � ,PROPN PROPN ADJ ADJ NOUN NUM PROPN NOUN ADJ NOUN ADP ADJ ADJ NOUN ADP ADJ NUM NOUN VERB 
بیجنگ سپورٹس ڈیسک چین میں مارٹن گپٹل اور سپین کی ہی اگ کی جڑواں بچوں کیلئے فٹبال کھیل ,PROPN PROPN PROPN PROPN ADP PROPN PROPN CCONJ PROPN ADP PART NOUN ADP ADJ NOUN ADP NOUN VERB 
اسلام باد این این ئیپاکستان تھرو بال فیڈریشن کے زیراہتمام اور پنجاب تھرو بال ایسوسی ایشن کے تعاون س ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP ADJ CCONJ PROPN PROPN PROPN PROPN PROPN ADP NOUN PUNCT 
لاہوراردو پوائنٹ اخبارتازہ ترین لائن 26 اگست2017ء ترجمان محکمہ زراعت پنجاب نے کہا ہے کہ موسم گرما کے دورا ,PROPN PROPN PROPN PROPN NOUN PROPN PROPN NOUN NOUN PROPN PROPN ADP VERB AUX SCONJ NOUN NOUN ADP PUNCT 
سوات نوائے وقت رپورٹ سوات کے قریب دوران دیہاتیوں نے ڈاکو کو کھیلتے ہوئے لیویز پر حملہ کر دیا ,PROPN PROPN NOUN PROPN PROPN ADP ADP ADP NOUN ADP NOUN ADP VERB AUX NOUN ADP NOUN VERB AUX 
لاہور مانیٹرنگ ڈیسک پاکستان کرکٹ بورڈ نے کرکٹرز کی دوڑ میں مسلسل پانچویں شکست کے بعد کرکٹ � ,PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN ADP NOUN ADP ADV ADJ NOUN ADP ADP NOUN VERB 
پاکستان ٹیلی کمیونیکیشن اتھارٹی پی ٹی اے نے جنوری 2020 کے دوران ملک میں سماجی رابطوں کی سائٹ فی ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN ADP ADP NOUN ADP ADJ NOUN ADP NOUN ADP 
انٹربینک میں ڈالر چھبیس پیسے سستاہوگیا اوپن مارکیٹ میں ڈالر ایک روپے ستتر پیسے سستا ہوکر ترانو� ,NOUN ADP NOUN NUM NOUN PROPN PROPN NOUN ADP NOUN NUM NOUN NUM NOUN NOUN VERB PUNCT 
کراچی سپورٹس رپورٹر پاکستان فٹ بال فیڈریشن کے ہیڈ فس لاہور میں دودا خان نے کہا ہے کہ پاکستان ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN PROPN PROPN ADP PROPN PROPN ADP VERB AUX SCONJ PROPN 
وفاقی وزیر برائے سائنس ٹیکنالوجی فواد چوہدری نے نئے منصوبوں کی تعمیر کیلئے نیکسٹ یعنی جون 2016 ت ,ADJ NOUN ADP PROPN PROPN PROPN PROPN ADP ADJ NOUN ADP NOUN ADP NOUN ADV PROPN PROPN VERB 
فیصل باد ستمبر اردو پوائنٹ اخبار تازہ ترین 08 ستمبر2015ء محکمہ زراعت کی جانب سے فاسفورس پوٹھوار سے کپاس ک ,PROPN PROPN PROPN PROPN NOUN NOUN ADJ ADJ PROPN PROPN NOUN NOUN ADP ADP ADP PROPN PROPN ADP NOUN PUNCT 
اسلام باد اردو پوائنٹ اخبارتازہ ترین لائن25 جولائی2016ء پاکستان کی قومی خواتین ٹینس ٹیم ساتھ ایشین ریجنل ,PROPN PROPN PROPN NOUN NOUN ADJ PROPN PROPN PROPN ADP ADJ NOUN NOUN NOUN ADP PROPN NOUN 
کراچی اردو پوائنٹ تازہ ترین اخبار 21فروری 2014ءسیکیورٹیز اینڈ ایکسچینج کمیشن پاکستان کی جانب سے � ,PROPN PROPN PROPN ADJ ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN ADP ADP ADP VERB 
کیلیفورنیا 19 جولائی 2019 موبائل فون پریٹنگ سسٹم کی بیٹری چارج کرنے کے لیے نت نئے فیچر بھرا ہوتا ,PROPN PROPN PROPN NUM NOUN NOUN NOUN NOUN ADP NOUN NOUN VERB ADP ADP ADJ ADJ NOUN ADJ VERB 
ملتاناردو پوائنٹ اخبار تازہ ترین 13اپریل2015ء پاکستان کرکٹ ٹیم کے سابق فاسٹ بالر شعیب اختر نے کہا ہے ک� ,PROPN PROPN NOUN ADJ PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN NOUN PROPN PROPN ADP VERB AUX PUNCT 
مانچسٹر نیوزی لینڈ سے وارم اپ میچ میں پاکستانی ٹیم کی پوزیشن مستحکم ہوگئی انگلینڈ نے بھارت ,PROPN PROPN PROPN ADP PROPN PROPN NOUN ADP ADJ NOUN ADP NOUN ADJ VERB PROPN ADP PROPN 
ویلنگٹناردو پوائنٹ اخبارتازہ ترین لائن 17 مارچ2017ء نیوزی لینڈ کرکٹ بورڈ نے پاکستان کیخلاف ہوم سیری ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN ADV PROPN VERB 
لاہور معروف بالی ووڈ اداکارہ نرگس فخری اور اداکار اظہار قاضی کی مشترکہ پریس کانفرنس کا انعقاد کیا � ,PROPN ADJ PROPN PROPN PROPN PROPN PROPN CCONJ NOUN PROPN PROPN ADP ADJ NOUN NOUN ADP NOUN VERB PUNCT 
میلبورناردو پوائنٹ تازہ ترین اخبار14جنوری 2015ء سابق سٹریلوی کرکٹر جارج بیلی نے کہا ہے کہ وہ گھٹن ,PROPN PROPN ADJ ADJ PROPN PROPN ADJ NOUN NOUN PROPN PROPN ADP VERB AUX SCONJ PRON VERB 
ممبئی اردو پوائنٹ اخبارتازہ ترین این این ئی 07 فروری2019ء ائندہ برس شیڈول ائی سی سی ویمنز ورلڈ ٹی ٹونٹی ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN 
کراچی اردو پوائنٹ اخبارتازہ ترین اے پی پی 22 مارچ2017ء عالمی ایوارڈ یافتہ پاکستانی فلمساز شرمین عبید چنا� ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN ADJ NOUN ADJ ADJ NOUN PROPN PROPN VERB 
لاہوراردو پوائنٹ اخبارتازہ ترین لائن 01 اکتوبر2018ءشہر میں پرچون سطح پر برائلر گوشت کی قیمت 11روپے اضافے � ,PROPN PROPN ADJ PROPN NOUN PROPN PROPN ADP ADJ NOUN ADP NOUN NOUN ADP NOUN NUM NOUN PUNCT 
بیجنگاردو پوائنٹ اخبارتازہ ترین لائن 01 مئی2019ءچین کی تیار کردہ ساز کمپنی ویوو کو کہا گیا ہے کہ � ,PROPN PROPN ADJ PROPN NOUN PROPN PROPN ADP ADJ NOUN ADJ NOUN PROPN ADP VERB AUX AUX SCONJ PUNCT 
لاہورئی این پی فلم سٹار ریما خان نے کہا ہے کہ پاکستان اور بھارت کے درمیان کشیدگی کی بنا پر فل ,PROPN PROPN PROPN NOUN PROPN PROPN PROPN ADP VERB AUX SCONJ PROPN CCONJ PROPN ADP ADP NOUN ADP NOUN ADP VERB 
بیٹسمینوں کی ففٹیز اور ٹیم میں شامل بیٹسمین نے وکٹ پر شاندار کارکردگی کا مظاہرہ کیا فوٹو پی ,NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN ADP NOUN ADP ADJ NOUN ADP NOUN VERB NOUN VERB 
لاہور ڈیلی پاکستان لائن انگلینڈ کرکٹ ٹیم کے کپتان ئن مورگن نے کہا ہے کہ انگلینڈ پاکستان کے ,PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADP NOUN PROPN PROPN ADP VERB AUX SCONJ PROPN PROPN ADP 
لاہور کلچرل رپورٹر اداکار جنید خان ترک سیریز ارطغرل غازی کے پاکستان میں نشر ہونے جا رہے ہیں ا ,PROPN NOUN NOUN NOUN PROPN PROPN NOUN NOUN PROPN PROPN ADP PROPN ADP NOUN VERB AUX AUX AUX PUNCT 
فائل فوٹوممبئیبھارتی اداکارہ سنی لیون نے فلم جسم ٹومیں کام کرنے کیلئے مشن امپوسیبل سیٹ تیار ک ,NOUN PROPN NOUN PROPN PROPN ADP NOUN NOUN NOUN NOUN VERB ADP NOUN PROPN NOUN ADJ VERB 
لاہوراردو پوائنٹ اخبارتازہ ترین ئی این پی 05 مئی2018ء بلے باز کامران اکمل نے قائد اعظم ٹرافی میں سندھ کی ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN PROPN PROPN ADP NOUN PROPN NOUN ADP PROPN VERB 
ممبئیویب ڈیسک پاکستان کی معروف اداکارہ صبا قمر کی بالی ووڈ ڈیبیو فلم ہندی میڈیم ریلیز کے پہل� ,PROPN PROPN PROPN ADP ADJ NOUN PROPN PROPN ADP PROPN PROPN PROPN NOUN PROPN NOUN NOUN ADP VERB 
میلبورناردو پوائنٹ اخبارتازہ ترین لائن 09 نومبر2019ء رگبی لیگ ورلڈ کپ 2019ئ کا میلہ انگلینڈ اور نیوزی لینڈ ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN PROPN CCONJ PROPN PROPN 
لاہورسپورٹس رپورٹر سابق چیئرمین پی سی بی اعجاز بٹ نے کہا ہے کہ جسٹس قیوم کی سربراہی میں سا� ,NOUN NOUN ADJ NOUN PROPN PROPN PROPN PROPN PROPN ADP VERB AUX SCONJ NOUN PROPN ADP NOUN ADP VERB 
لاہور پاکستان سپر لیگ کے تیسرے ایڈیشن کے لیے چھٹی ٹیم کا اعلان کردیا گیا جس میں افتتاحی ت ,PROPN PROPN PROPN PROPN ADP ADJ NOUN ADP ADP ADJ NOUN ADP NOUN VERB AUX PRON ADP ADJ VERB 
اسلام اباد اردو پوائنٹ اخبارتازہ ترین این این ئی 05 جون2019ء اسلام اباد یونائیٹڈ اور پشاور زلمی کے درمیان نم ,PROPN PROPN PROPN PROPN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP ADP VERB 
جرمنی سے تعلق رکھنے والی ٹاپ کمپنی نے دنیا کی سب سے سستی ٹیکنالوجی کو تیار کیا ہے جسے جرمنی ,PROPN ADP NOUN VERB ADP NOUN NOUN ADP NOUN ADP PRON ADP ADJ NOUN ADP ADJ VERB AUX PRON PROPN 
میلبورنائی این پی سٹریلیا نے پانچویں اور اخری ون ڈے میچ میں جنوبی افریقہ کو وکٹوں سے شکست دے ,PROPN PROPN PROPN PROPN ADP ADJ CCONJ ADJ NOUN NOUN NOUN ADP PROPN PROPN ADP NOUN ADP NOUN VERB 
سلانوالی18 اگستاردو پوائنٹ اخبارتازہ ترین اے پی پی18 اگست2016ءزرعی ماہرین نے دھنیا کی پچھیتی کا شت ک� ,PROPN PROPN PROPN PROPN ADJ PROPN PROPN PROPN PROPN NOUN ADP NOUN ADP NOUN ADP NOUN VERB 
بالی ووڈ سلطان سلمان خان کی فلم ریس تھری نے اپنی ریلیز کے پہلے دن سری دیوی کی فلموں کو دھوم مچا� ,PROPN PROPN PROPN PROPN PROPN ADP NOUN PROPN PROPN ADP PRON NOUN ADP ADJ NOUN PROPN PROPN ADP NOUN ADP NOUN VERB 
ویلنگٹن اردو پوائنٹ اخبارتازہ ترین اے پی پی 14 جنوری2020ء جنوبی افریقہ اور نیوزی لینڈ کی خواتین ٹیم ,PROPN PROPN PROPN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP NOUN NOUN 
جارج ٹان نیوزی لینڈ نے پاکستان کے خلاف تیسرے اور اخری ٹیسٹ میچ کے لیے 14 رکنی اسکواڈ کا اعلان ,PROPN PROPN PROPN PROPN ADP PROPN ADP ADP ADJ CCONJ ADJ NOUN NOUN ADP ADP NUM ADJ NOUN ADP NOUN 
لاہور کامرس رپورٹرپاکستان فلور ملز ایسوسی ایشن پنجاب کے چیئرمین ریاض اللہ خان گروپ لیڈر عاصم رضا م ,PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN PROPN PROPN PROPN NOUN NOUN PROPN PROPN VERB 
لاہور کلچرل رپورٹر اداکارہ افرین پری کا نیا سٹیج ڈرامہ سیلی اپنا دیناں بھر کے پانچ تھیٹر م� ,PROPN NOUN NOUN PROPN PROPN PROPN ADP ADJ NOUN NOUN PROPN PRON PROPN PART ADP NUM NOUN VERB 
کراچی اسٹیٹ بینک نے ائندہ دو ماہ کیلئے شرح سود کو کم کرکے سات فیصد کردیا جس کے تحت مانیٹری ,PROPN PROPN PROPN ADP ADJ NUM NOUN ADP NOUN NOUN ADP ADJ VERB NUM NOUN VERB PRON ADP ADP VERB 
کراچی ئی این پیقومی ٹیم کے سابق کپتان شاہد فریدی کراچی کے نجی ہوٹل میں اپنی سالگرہ منائی � ,PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN PROPN PROPN PROPN ADP ADJ NOUN ADP PRON NOUN VERB PUNCT 
لاہور شوبزڈیسک تھیٹر کی نامور اداکارہ مہک نور نے کہا ہے کہ حکومت نے تھیٹر ڈرامے اور فلم کی ,PROPN PROPN PROPN ADP ADJ NOUN PROPN PROPN ADP VERB AUX SCONJ NOUN ADP NOUN NOUN CCONJ NOUN VERB 
